"Time Frame Start","Time Frame End",Interface,Protocol,"Duration (s)","SIP Call ID",P-Asserted-Identity,From,To,"Request Time","Request IMS Entity","Request IMS Entity Call Leg","Request Node Name","Request IP Address","Request Method","Request Packet ID","Response Time","Response IMS Entity","Response IMS Entity Call Leg","Response Node Name","Response IP Address","Response Method","Response Packet ID"
"2017-11-06 14:34","2017-11-06 14:34",Gm,sip,"1,068",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:091255262150@tel2.ver.sul.t-online.de,"2017-11-06 14:34:36.912",UA,Originating,"orig. UA",51.1.4.7,INVITE,1,"2017-11-06 14:34:37.980",P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.181.186,"180 Ringing",49
"2017-11-06 14:34","2017-11-06 14:34",Gm,sip,"4,382",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:091255262150@tel2.ver.sul.t-online.de,"2017-11-06 14:34:36.912",UA,Originating,"orig. UA",51.1.4.7,INVITE,1,"2017-11-06 14:34:41.294",P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.181.186,"200 OK",77
"2017-11-06 14:34","2017-11-06 14:34",Gq',diameter,"0,012",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:091255262150@tel2.ver.sul.t-online.de,"2017-11-06 14:34:36.918",P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.180.133,Request,2,"2017-11-06 14:34:36.930",RACS,Originating,TA2D_NBG_LISA1,217.89.20.18,"Answer (2001)",3
"2017-11-06 14:34","2017-11-06 14:34",Mw,sip,"1,036",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:091255262150@tel2.ver.sul.t-online.de,"2017-11-06 14:34:36.942",P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.180.133,INVITE,4,"2017-11-06 14:34:37.978",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"180 Ringing",48
"2017-11-06 14:34","2017-11-06 14:34",Mw,sip,"4,339",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:091255262150@tel2.ver.sul.t-online.de,"2017-11-06 14:34:36.942",P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.180.133,INVITE,4,"2017-11-06 14:34:41.281",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"200 OK",76
"2017-11-06 14:34","2017-11-06 14:34",ISC,sip,"0,851",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:091255262150@tel2.ver.sul.t-online.de,"2017-11-06 14:34:37.078",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,INVITE,6,"2017-11-06 14:34:37.929",MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,"180 Ringing",47
"2017-11-06 14:34","2017-11-06 14:34",ISC,sip,"4,138",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:091255262150@tel2.ver.sul.t-online.de,"2017-11-06 14:34:37.078",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,INVITE,6,"2017-11-06 14:34:41.216",MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,"200 OK",75
"2017-11-06 14:34","2017-11-06 14:34",ISC,sip,"0,832",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:091255262150@tel2.ver.sul.t-online.de,"2017-11-06 14:34:37.095",MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,INVITE,8,"2017-11-06 14:34:37.927",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"180 Ringing",46
"2017-11-06 14:34","2017-11-06 14:34",ISC,sip,"4,119",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:091255262150@tel2.ver.sul.t-online.de,"2017-11-06 14:34:37.095",MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,INVITE,8,"2017-11-06 14:34:41.214",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"200 OK",74
"2017-11-06 14:34","2017-11-06 14:34",DNS,dns,"0,015",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:+4991244264270@tel2.ver.sul.t-online.de,sip:091255262150@tel2.ver.sul.t-online.de,"2017-11-06 14:34:37.161",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"NAPTR query",10,"2017-11-06 14:34:37.176",iDNS,Originating,TA2D_LB_iDNS,217.243.180.12,"NAPTR response",20
